directory, treatment, target, newcov,  oldcov, newtssize, origtsize
/scratch/alipour/replica2/src/6/9/half_swarm,half_swarm,13088,1,7,660,2610
/scratch/alipour/replica2/src/6/10/half_swarm,half_swarm,18921,8,8,825,2610
/scratch/alipour/replica2/src/6/11/half_swarm,half_swarm,12228,3,3,747,2610
/scratch/alipour/replica2/src/6/12/half_swarm,half_swarm,15857,2,8,721,2610
/scratch/alipour/replica2/src/6/13/half_swarm,half_swarm,29859,9,18,713,2610
/scratch/alipour/replica2/src/6/14/no_swarm,no_swarm,18204,21,14,390,2610
/scratch/alipour/replica2/src/6/14/half_swarm,half_swarm,18204,5,14,486,2610
/scratch/alipour/replica2/src/6/15/no_swarm,no_swarm,7294,3,34,441,2610
/scratch/alipour/replica2/src/6/15/half_swarm,half_swarm,7294,5,34,493,2610
/scratch/alipour/replica2/src/6/16/no_swarm,no_swarm,12343,492,27,492,2610
/scratch/alipour/replica2/src/6/16/half_swarm,half_swarm,12343,29,27,425,2610
/scratch/alipour/replica2/src/6/17/half_swarm,half_swarm,16874,1,5,496,2610
/scratch/alipour/replica2/src/6/18/no_swarm,no_swarm,22413,0,13,536,2610
/scratch/alipour/replica2/src/6/18/half_swarm,half_swarm,22413,3,13,469,2610
/scratch/alipour/replica2/src/6/19/no_swarm,no_swarm,6954,15,66,502,2610
/scratch/alipour/replica2/src/6/19/half_swarm,half_swarm,6954,12,66,501,2610
/scratch/alipour/replica2/src/6/20/half_swarm,half_swarm,31077,5,14,502,2610
/scratch/alipour/replica2/src/6/21/no_swarm,no_swarm,21450,9,7,333,2610
/scratch/alipour/replica2/src/6/21/half_swarm,half_swarm,21450,0,7,511,2610
/scratch/alipour/replica2/src/6/22/no_swarm,no_swarm,273,501,27,501,2610
/scratch/alipour/replica2/src/6/22/half_swarm,half_swarm,273,31,27,451,2610
/scratch/alipour/replica2/src/6/23/no_swarm,no_swarm,18785,285,26,445,2610
/scratch/alipour/replica2/src/6/23/half_swarm,half_swarm,18785,19,26,496,2610
/scratch/alipour/replica2/src/6/24/no_swarm,no_swarm,10015,111,11,533,2610
/scratch/alipour/replica2/src/6/24/half_swarm,half_swarm,10015,7,11,444,2610
/scratch/alipour/replica2/src/6/25/no_swarm,no_swarm,17969,16,3,341,2610
/scratch/alipour/replica2/src/6/25/half_swarm,half_swarm,17969,0,3,519,2610
/scratch/alipour/replica2/src/6/26/no_swarm,no_swarm,7296,6,34,447,2610
/scratch/alipour/replica2/src/6/26/half_swarm,half_swarm,7296,7,34,522,2610
/scratch/alipour/replica2/src/6/27/half_swarm,half_swarm,30967,1,6,493,2610
/scratch/alipour/replica2/src/6/28/no_swarm,no_swarm,32378,5,9,351,2610
/scratch/alipour/replica2/src/6/28/half_swarm,half_swarm,32378,1,9,525,2610
/scratch/alipour/replica2/src/6/29/no_swarm,no_swarm,7452,24,66,551,2610
/scratch/alipour/replica2/src/6/29/half_swarm,half_swarm,7452,14,66,513,2610
/scratch/alipour/replica2/src/6/30/no_swarm,no_swarm,7100,42,81,512,2610
/scratch/alipour/replica2/src/6/30/half_swarm,half_swarm,7100,14,81,515,2610
/scratch/alipour/replica2/src/6/31/half_swarm,half_swarm,29679,1,13,511,2610
/scratch/alipour/replica2/src/6/32/half_swarm,half_swarm,32411,10,31,510,2610
/scratch/alipour/replica2/src/6/33/no_swarm,no_swarm,20573,6,4,510,2610
/scratch/alipour/replica2/src/6/33/half_swarm,half_swarm,20573,3,4,515,2610
/scratch/alipour/replica2/src/6/34/half_swarm,half_swarm,8098,10,57,478,2610
/scratch/alipour/replica2/src/6/35/no_swarm,no_swarm,25290,16,22,513,2610
/scratch/alipour/replica2/src/6/35/half_swarm,half_swarm,25290,3,22,526,2610
/scratch/alipour/replica2/src/6/36/no_swarm,no_swarm,274,514,27,514,2610
/scratch/alipour/replica2/src/6/36/half_swarm,half_swarm,274,34,27,496,2610
/scratch/alipour/replica2/src/6/37/half_swarm,half_swarm,7892,4,18,495,2610
/scratch/alipour/replica2/src/6/38/half_swarm,half_swarm,29557,6,13,494,2610
/scratch/alipour/replica2/src/6/39/half_swarm,half_swarm,30941,1,6,490,2610
/scratch/alipour/replica2/src/6/40/no_swarm,no_swarm,19197,93,17,518,2610
/scratch/alipour/replica2/src/6/40/half_swarm,half_swarm,19197,3,17,517,2610
/scratch/alipour/replica2/src/6/41/half_swarm,half_swarm,28661,3,18,525,2610
/scratch/alipour/replica2/src/6/42/half_swarm,half_swarm,16565,1,9,502,2610
/scratch/alipour/replica2/src/6/43/no_swarm,no_swarm,18424,99,50,541,2610
/scratch/alipour/replica2/src/6/43/half_swarm,half_swarm,18424,15,50,526,2610
/scratch/alipour/replica2/src/6/44/no_swarm,no_swarm,17981,190,13,512,2610
/scratch/alipour/replica2/src/6/44/half_swarm,half_swarm,17981,4,13,508,2610
